worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=120.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=307.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=427.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
worker-1  | [worker] processed_throughput=0.0 signals/sec open_incidents=0
